ID,Alphabet,Font,Emphasis,Noise Level
0001,Chinese,FangSong,Bold italic,None
0002,Chinese,FangSong,Bold,None
0003,Chinese,FangSong,Italic,None
0004,Chinese,FangSong,Regular,None
0005,Chinese,HeiTi,Bold italic,None
0006,Chinese,HeiTi,Bold,None
0007,Chinese,HeiTi,Italic,None
0008,Chinese,HeiTi,Regular,None
0009,Chinese,KaiTi,Bold italic,None
0010,Chinese,KaiTi,Bold,None
0011,Chinese,KaiTi,Italic,None
0012,Chinese,KaiTi,Regular,None
0013,Chinese,LiShu,Bold italic,None
0014,Chinese,LiShu,Bold,None
0015,Chinese,LiShu,Italic,None
0016,Chinese,LiShu,Regular,None
0017,Chinese,SongTi,Bold italic,None
0018,Chinese,SongTi,Bold,None
0019,Chinese,SongTi,Italic,None
0020,Chinese,SongTi,Regular,None
0021,Chinese,YouYuan,Bold italic,None
0022,Chinese,YouYuan,Bold,None
0023,Chinese,YouYuan,Italic,None
0024,Chinese,YouYuan,Regular,None
0025,Arabic,Homa,Bold italic,None
0026,Arabic,Homa,Bold,None
0027,Arabic,Homa,Italic,None
0028,Arabic,Homa,Regular,None
0029,Arabic,Lotus,Bold italic,None
0030,Arabic,Lotus,Bold,None
0031,Arabic,Lotus,Italic,None
0032,Arabic,Lotus,Regular,None
0033,Arabic,Mitra,Bold italic,None
0034,Arabic,Mitra,Bold,None
0035,Arabic,Mitra,Italic,None
0036,Arabic,Mitra,Regular,None
0037,Arabic,Nazanin,Bold italic,None
0038,Arabic,Nazanin,Bold,None
0039,Arabic,Nazanin,Italic,None
0040,Arabic,Nazanin,Regular,None
0041,Arabic,Tahoma,Bold italic,None
0042,Arabic,Tahoma,Bold,None
0043,Arabic,Tahoma,Italic,None
0044,Arabic,Tahoma,Regular,None
0045,Arabic,Times,Bold italic,None
0046,Arabic,Times,Bold,None
0047,Arabic,Times,Italic,None
0048,Arabic,Times,Regular,None
0049,Arabic,Titr,Italic,None
0050,Arabic,Titr,Regular,None
0051,Arabic,Traffic,Bold italic,None
0052,Arabic,Traffic,Bold,None
0053,Arabic,Traffic,Italic,None
0054,Arabic,Traffic,Regular,None
0055,Arabic,Yaghut,Bold italic,None
0056,Arabic,Yaghut,Bold,None
0057,Arabic,Yaghut,Italic,None
0058,Arabic,Yaghut,Regular,None
0059,Arabic,Zar,Bold italic,None
0060,Arabic,Zar,Bold,None
0061,Arabic,Zar,Italic,None
0062,Arabic,Zar,Regular,None
0063,Latin,Arial,Bold italic,None
0064,Latin,Arial,Bold,None
0065,Latin,Arial,Italic,None
0066,Latin,Arial,Regular,None
0067,Latin,Bookman,Bold italic,None
0068,Latin,Bookman,Bold,None
0069,Latin,Bookman,Italic,None
0070,Latin,Bookman,Regular,None
0071,Latin,Century,Bold italic,None
0072,Latin,Century,Bold,None
0073,Latin,Century,Italic,None
0074,Latin,Century,Regular,None
0075,Latin,Comic Sans MS,Bold italic,None
0076,Latin,Comic Sans MS,Bold,None
0077,Latin,Comic Sans MS,Italic,None
0078,Latin,Comic Sans MS,Regular,None
0079,Latin,Courier New,Bold italic,None
0080,Latin,Courier New,Bold,None
0081,Latin,Courier New,Italic,None
